area_coverage_2016,area_coverage_2014,area_sq_km,pcd_sector,area_coverage_2015,name,site_count,site_density
0.0,0.0,5.7621,MK187,0.0,BuckinghamshireCounty,0,0
0.0,0.0,14.3078,HP53,0.0,BuckinghamshireCounty,6,0.4193516822991655
0.0,0.0,23.3285,HP52,0.0,BuckinghamshireCounty,6,0.2571961334847933
0.0,0.0,16.5666,SL23,0.0,BuckinghamshireCounty,11,0.6639865753986938
0.0,0.0,16.5863,HP160,0.0,BuckinghamshireCounty,5,0.3014536093040642
0.0,0.0,15.415,HP270,0.0,BuckinghamshireCounty,4,0.25948751216347715
0.0,0.0,19.82,SL73,0.0,BuckinghamshireCounty,13,0.6559031281533804
0.0,0.0,20.1662,HP92,0.0,BuckinghamshireCounty,21,1.0413464113219149
0.0,0.0,9.6541,HP198,0.0,BuckinghamshireCounty,6,0.6214976020550854
0.0,0.0,7.0822,WD39,0.0,BuckinghamshireCounty,4,0.5647962497529017
0.0,0.0,15.1883,SL24,0.0,BuckinghamshireCounty,6,0.39504091965526095
0.0,0.0,6.9108,UB94,0.0,BuckinghamshireCounty,3,0.43410314290675467
0.0,0.0,17.7692,HP226,0.0,BuckinghamshireCounty,7,0.39394007608671183
0.0,0.0,50.0975,HP225,0.0,BuckinghamshireCounty,17,0.339338290333849
0.0,0.0,20.6914,OX110,0.0,BuckinghamshireCounty,13,0.6282803483572885
0.0,0.0,25.4649,SL72,0.0,BuckinghamshireCounty,2,0.07853947983302506
0.0,0.0,32.9261,OX394,0.0,BuckinghamshireCounty,6,0.18222625819638524
0.0,0.0,27.6755,HP279,0.0,BuckinghamshireCounty,5,0.18066520930064497
0.0,0.0,43.5929,HP178,0.0,BuckinghamshireCounty,10,0.22939515379798087
0.0,0.0,46.9063,OX52,0.0,BuckinghamshireCounty,12,0.25582917433265895
0.0,0.0,36.9643,MK196,0.0,BuckinghamshireCounty,5,0.13526564820651277
0.0,0.0,19.9826,HP236,0.0,BuckinghamshireCounty,6,0.3002612272677229
0.0,0.0,38.3024,MK183,0.0,BuckinghamshireCounty,5,0.13054012281214755
0.0,0.0,31.6897,HP169,0.0,BuckinghamshireCounty,6,0.18933596720701049
0.0,0.0,29.708,HP70,0.0,BuckinghamshireCounty,11,0.37027063417261347
0.0,0.0,69.6533,MK182,0.0,BuckinghamshireCounty,3,0.04307046471595746
0.0,0.0,11.3586,OX270,0.0,BuckinghamshireCounty,0,0
0.0,0.0,67.606,HP224,0.0,BuckinghamshireCounty,9,0.1331242789101559
0.0,0.0,81.702,MK170,0.0,BuckinghamshireCounty,12,0.14687522949254608
0.0,0.0,88.4423,HP180,0.0,BuckinghamshireCounty,8,0.0904544544861452
0.0,0.0,13.0666,HP179,0.0,BuckinghamshireCounty,0,0
0.0,0.0,17.5835,HP170,0.0,BuckinghamshireCounty,7,0.39810049193846503
0.0,0.0,129.2245,NN135,0.0,BuckinghamshireCounty,10,0.07738470646046222
0.0,0.0,57.5496,MK185,0.0,BuckinghamshireCounty,3,0.052128946161224404
100.0,100.0,1.355,M251,100.0,BuryDistrict,6,4.428044280442805
100.0,100.0,1.0653,M456,100.0,BuryDistrict,1,0.9387027128508402
100.0,100.0,1.7666,M458,100.0,BuryDistrict,4,2.2642363862787276
100.0,100.0,2.6067,BL25,100.0,BuryDistrict,2,0.7672536156826639
