"","Postcode.Sector","name","oslaua","Population","Area.Sq.Km","People.per.Sq.Km","oscty","gor","code","all.operators.2G","all.operators.3G","all.operators.4G","pop.d.rank","LA.area","LA.2G.coverage","LA.3G.coverage","LA.4G.coverage","area_allocated.2G","area_coverage.2G","area_allocated.3G","area_coverage.3G","area_allocated.4G","area_coverage.4G","sitefinder.count","geotype","site.density","ex.pcd","distance"
"83","AB546","Aberdeenshire","S12000034",1120,113.350646,9.88084355513951,"S99999999","S99999999","00QB",45.67,3.49,0.01,44,5139.313138,2347.1243101246,179.3620285162,0.5139313138,0,0,0,0,0,0,2,"Rural 4",0.0176443634913206,"AB546EQ",2.29
"84","AB547","Moray","S12000020",2614,124.278526,21.0334004122321,"S99999999","S99999999","00QX",37.41,1.04,NA,14,2729.458768,1021.0905251088,28.3863711872,NA,124.278526,100,0,0,NA,NA,8,"Rural 4",0.0643715391346048,"AB547LT",3.616
"85","AB548","Aberdeenshire","S12000034",4524,2.148376,2105.77664244993,"S99999999","S99999999","00QB",45.67,3.49,0.01,5,5139.313138,2347.1243101246,179.3620285162,0.5139313138,2.148376,100,2.148376,100,0,0,2,"Suburban 2",0.930935739367783,"AB548EG",0.163
"86","AB554","Moray","S12000020",2177,179.94219,12.0983300247707,"S99999999","S99999999","00QX",37.41,1.04,NA,17,2729.458768,1021.0905251088,28.3863711872,NA,0,0,0,0,NA,NA,2,"Rural 4",0.011114680776087,"AB554AU",5.878
"87","AB555","Aberdeenshire","S12000034",5307,77.219191,68.7264387424106,"S99999999","S99999999","00QB",45.67,3.49,0.01,20,5139.313138,2347.1243101246,179.3620285162,0.5139313138,77.219191,100,0,0,0,0,9,"Rural 2",0.116551337607254,"AB555PS",3.215
"88","AB556","Moray","S12000020",1823,156.661918,11.6365229232033,"S99999999","S99999999","00QX",37.41,1.04,NA,18,2729.458768,1021.0905251088,28.3863711872,NA,0,0,0,0,NA,NA,7,"Rural 4",0.0446822054099963,"AB555DL",2.976
"89","AB561","Moray","S12000020",8328,4.112165,2025.21056426481,"S99999999","S99999999","00QX",37.41,1.04,NA,4,2729.458768,1021.0905251088,28.3863711872,NA,4.112165,100,4.112165,100,NA,NA,3,"Suburban 2",0.729542710470032,"AB561JX",0.36
"90","AB564","Aberdeenshire","S12000034",4615,38.472448,119.95597472768,"S99999999","S99999999","00QB",45.67,3.49,0.01,17,5139.313138,2347.1243101246,179.3620285162,0.5139313138,38.472448,100,0,0,0,0,8,"Rural 1",0.207941017946142,"AB564RP",3.151
"91","AB565","Moray","S12000020",1882,89.127806,21.1157447317844,"S99999999","S99999999","00QX",37.41,1.04,NA,13,2729.458768,1021.0905251088,28.3863711872,NA,89.127806,100,0,0,NA,NA,8,"Rural 4",0.0897587448747476,"AB565EQ",4.884
"92","AL100","Hertfordshire","E07000241",9935,2.4362,4078.07240784829,"E10000015","E12000006","26",84.22,86.07,32.19,24,1609.7579,1355.73810338,1385.51862453,518.18106801,2.4362,100,2.4362,100,2.4362,100,4,"Suburban 1",1.64190132173056,"AL108AG",0.63
"93","AL108","Hertfordshire","E07000241",10998,2.1676,5073.81435689242,"E10000015","E12000006","26",84.22,86.07,32.19,9,1609.7579,1355.73810338,1385.51862453,518.18106801,2.1676,100,2.1676,100,2.1676,100,9,"Suburban 1",4.15205757519838,"AL108AG",1.36
