"","Postcode.Sector","name","oslaua","Population","Area.Sq.Km","People.per.Sq.Km","oscty","gor","code","all.operators.2G","all.operators.3G","all.operators.4G","pop.d.rank","LA.area","LA.2G.coverage","LA.3G.coverage","LA.4G.coverage","area_allocated.2G","area_coverage.2G","area_allocated.3G","area_coverage.3G","area_allocated.4G","area_coverage.4G","sitefinder.count","geotype","site.density","ex.pcd","distance"
"2625","EX26","Devon","E07000041",5456,3.0889,1766.32458156625,"E10000008","E12000009","18",55.06,26.48,0.25,27,6430.7651,3540.77926406,1702.86659848,16.07691275,3.0889,99.9999999999999,3.0889,99.9999999999999,0,0,0,"Suburban 2",0,"EX68AB",2.59
"2626","EX27","Devon","E07000040",5196,4.6841,1109.28460109733,"E10000008","E12000009","18",55.06,26.48,0.25,37,6430.7651,3540.77926406,1702.86659848,16.07691275,4.6841,100,4.6841,100,0,0,8,"Suburban 2",1.70790546743238,"EX30DS",2.434
"2627","EX28","Devon","E07000045",7809,11.4986,679.126154488373,"E10000008","E12000009","18",55.06,26.48,0.25,46,6430.7651,3540.77926406,1702.86659848,16.07691275,11.4986,100,11.4986,100,0,0,7,"Rural 1",0.608769763275529,"EX68AB",2.361
"2628","EX29","Devon","E07000045",7183,20.1146,357.103795253199,"E10000008","E12000009","18",55.06,26.48,0.25,53,6430.7651,3540.77926406,1702.86659848,16.07691275,20.1146,100,20.1146,100,0,0,1,"Rural 1",0.049715132291967,"EX67TH",3.151
"2629","EX30","Devon","E07000040",4940,10.2288,482.950101673706,"E10000008","E12000009","18",55.06,26.48,0.25,51,6430.7651,3540.77926406,1702.86659848,16.07691275,10.2288,100,10.2288,100,0,0,5,"Rural 1",0.488815892382293,"EX30DS",1.062
"2630","EX311","Devon","E07000043",3560,1.4202,2506.68919870441,"E10000008","E12000009","18",55.06,26.48,0.25,19,6430.7651,3540.77926406,1702.86659848,16.07691275,1.4202,100,1.4202,100,0,0,2,"Suburban 2",1.4082523588227,"EX311DF",0.689
"2631","EX312","Devon","E07000043",6325,7.5494,837.814925689459,"E10000008","E12000009","18",55.06,26.48,0.25,42,6430.7651,3540.77926406,1702.86659848,16.07691275,7.54939999999999,99.9999999999999,7.54939999999999,99.9999999999999,0,0,2,"Suburban 2",0.26492171563303,"EX311DF",2.525
"2632","EX313","Devon","E07000043",8170,64.2946,127.071324807993,"E10000008","E12000009","18",55.06,26.48,0.25,80,6430.7651,3540.77926406,1702.86659848,16.07691275,64.2945999999999,99.9999999999999,64.2945999999999,99.9999999999999,0,0,9,"Rural 1",0.139980651563273,"EX313PJ",0.902
"2633","EX314","Devon","E07000043",7420,187.2716,39.6215977222387,"E10000008","E12000009","18",55.06,26.48,0.25,123,6430.7651,3540.77926406,1702.86659848,16.07691275,0,0,0,0,0,0,9,"Rural 3",0.0480585417116103,"EX314LE",4.39
"2634","EX320","Devon","E07000043",5336,87.3837,61.0640199488005,"E10000008","E12000009","18",55.06,26.48,0.25,106,6430.7651,3540.77926406,1702.86659848,16.07691275,87.3836999999999,99.9999999999998,0,0,0,0,5,"Rural 2",0.0572189092473768,"EX320NL",2.676
"2635","EX327","Devon","E07000043",6937,45.9624,150.927714827772,"E10000008","E12000009","18",55.06,26.48,0.25,76,6430.7651,3540.77926406,1702.86659848,16.07691275,45.9624,100,45.9624,100,0,0,1,"Rural 1",0.0217569143473796,"EX327PR",1.384
"2636","EX328","Devon","E07000043",6266,1.1853,5286.42537754155,"E10000008","E12000009","18",55.06,26.48,0.25,6,6430.7651,3540.77926406,1702.86659848,16.07691275,1.1853,100,1.1853,100,1.1853,100,2,"Suburban 1",1.68733653927276,"EX311DF",1.899
"2637","EX329","Devon","E07000043",5239,1.8328,2858.46791793976,"E10000008","E12000009","18",55.06,26.48,0.25,15,6430.7651,3540.77926406,1702.86659848,16.07691275,1.8328,99.9999999999999,1.8328,99.9999999999999,0,0,0,"Suburban 2",0,"EX311DF",2.008
"2638","EX331","Devon","E07000043",5362,40.5457,132.245836179915,"E10000008","E12000009","18",55.06,26.48,0.25,79,6430.7651,3540.77926406,1702.86659848,16.07691275,40.5456999999999,99.9999999999997,40.5456999999999,99.9999999999997,0,0,3,"Rural 1",0.0739905834650777,"EX331ND",1.79
"2639","EX332","Devon","E07000043",4862,18.6888,260.155815247635,"E10000008","E12000009","18",55.06,26.48,0.25,59,6430.7651,3540.77926406,1702.86659848,16.07691275,18.6888,100,18.6888,100,0,0,7,"Rural 1",0.374555883737854,"EX332JR",0.954
"2640","EX340","Devon","E07000043",2687,14.8546,180.886728690103,"E10000008","E12000009","18",55.06,26.48,0.25,69,6430.7651,3540.77926406,1702.86659848,16.07691275,14.8546,100,14.8546,100,0,0,2,"Rural 1",0.134638428500263,"EX340AD",1.539
"2641","EX347","Devon","E07000043",1637,15.431,106.085153262912,"E10000008","E12000009","18",55.06,26.48,0.25,86,6430.7651,3540.77926406,1702.86659848,16.07691275,15.431,100,15.431,100,0,0,1,"Rural 2",0.0648046140885231,"EX347BT",1.146
"2642","EX348","Devon","E07000043",6457,31.5276,204.804679074842,"E10000008","E12000009","18",55.06,26.48,0.25,65,6430.7651,3540.77926406,1702.86659848,16.07691275,31.5276,100,31.5276,100,0,0,5,"Rural 1",0.158591202628808,"EX349LY",3.435
"2643","EX349","Devon","E07000043",6525,27.9049,233.829900841788,"E10000008","E12000009","18",55.06,26.48,0.25,61,6430.7651,3540.77926406,1702.86659848,16.07691275,27.9049,100,27.9049,100,0,0,4,"Rural 1",0.143344000516038,"EX349LY",3.153
"2644","EX356","Devon","E07000043",1647,68.571,24.0189001181257,"E10000008","E12000009","18",55.06,26.48,0.25,141,6430.7651,3540.77926406,1702.86659848,16.07691275,0,0,0,0,0,0,5,"Rural 4",0.0729171223986817,"EX356PS",1.96
"2645","EX363","Devon","E07000043",3920,162.4499,24.1305165469477,"E10000008","E12000009","18",55.06,26.48,0.25,140,6430.7651,3540.77926406,1702.86659848,16.07691275,0,0,0,0,0,0,5,"Rural 4",0.0307787200853925,"EX363LE",4.077
"2646","EX364","Devon","E07000043",4557,80.6563,56.4989963586229,"E10000008","E12000009","18",55.06,26.48,0.25,108,6430.7651,3540.77926406,1702.86659848,16.07691275,80.6563000000001,100,0,0,0,0,6,"Rural 2",0.0743897252911428,"EX364PB",2.583
"2647","EX379","Devon","E07000046",3362,118.4564,28.3817505850254,"E10000008","E12000009","18",55.06,26.48,0.25,133,6430.7651,3540.77926406,1702.86659848,16.07691275,0,0,0,0,0,0,8,"Rural 3",0.0675353969899474,"EX379DW",2.594
"2648","EX387","Devon","E07000046",4488,42.3466,105.982534607265,"E10000008","E12000009","18",55.06,26.48,0.25,87,6430.7651,3540.77926406,1702.86659848,16.07691275,42.3465999999999,99.9999999999997,42.3465999999999,99.9999999999997,0,0,1,"Rural 2",0.0236146467484993,"EX388EG",3.071
"2649","EX388","Devon","E07000046",3644,57.9012,62.9347923704517,"E10000008","E12000009","18",55.06,26.48,0.25,105,6430.7651,3540.77926406,1702.86659848,16.07691275,57.9012000000002,100,0,0,0,0,4,"Rural 2",0.0690831968940195,"EX388NF",0.961
"2650","EX391","Devon","E07000046",9389,8.511,1103.16061567383,"E10000008","E12000009","18",55.06,26.48,0.25,38,6430.7651,3540.77926406,1702.86659848,16.07691275,8.51100000000001,100,8.51100000000001,100,0,0,1,"Suburban 2",0.117495006462225,"EX394LG",2.847
"2651","EX392","Devon","E07000046",3760,1.1539,3258.51460265188,"E10000008","E12000009","18",55.06,26.48,0.25,13,6430.7651,3540.77926406,1702.86659848,16.07691275,1.1539,100,1.1539,100,0.605912749999998,52.5099878672327,4,"Suburban 1",3.46650489643817,"EX396BD",16.565
"2652","EX393","Devon","E07000046",9009,6.8998,1305.69002000058,"E10000008","E12000009","18",55.06,26.48,0.25,33,6430.7651,3540.77926406,1702.86659848,16.07691275,6.8998,100,6.8998,100,0,0,1,"Suburban 2",0.144931737151801,"EX393JA",1.265
"2653","EX394","Devon","E07000043",6870,40.2108,170.84962248948,"E10000008","E12000009","18",55.06,26.48,0.25,71,6430.7651,3540.77926406,1702.86659848,16.07691275,40.2108000000001,100,40.2108000000001,100,0,0,6,"Rural 1",0.149213644095616,"EX393JA",3.422
"2654","EX395","Devon","E07000046",6224,127.6953,48.7410264904033,"E10000008","E12000009","18",55.06,26.48,0.25,112,6430.7651,3540.77926406,1702.86659848,16.07691275,127.6953,99.9999999999999,0,0,0,0,8,"Rural 2",0.062649134306431,"EX395PF",1.549
"2655","EX396","Devon","E07000046",1911,77.2851,24.7266290656284,"E10000008","E12000009","18",55.06,26.48,0.25,137,6430.7651,3540.77926406,1702.86659848,16.07691275,0,0,0,0,0,0,5,"Rural 4",0.0646955234579498,"EX396BD",2.192
"2656","EX40","Devon","E07000040",297,7.053,42.1097405359422,"E10000008","E12000009","18",55.06,26.48,0.25,120,6430.7651,3540.77926406,1702.86659848,16.07691275,0,0,0,0,0,0,2,"Rural 3",0.283567276336311,"EX54AX",2.302
"2657","EX41","Devon","E07000041",9206,2.1329,4316.18922593652,"E10000008","E12000009","18",55.06,26.48,0.25,8,6430.7651,3540.77926406,1702.86659848,16.07691275,2.1329,100,2.1329,100,2.1329,100,0,"Suburban 1",0,"EX43PT",1.834
"2658","EX42","Devon","E07000041",7726,24.5637,314.529162951835,"E10000008","E12000009","18",55.06,26.48,0.25,58,6430.7651,3540.77926406,1702.86659848,16.07691275,24.5637,99.9999999999999,24.5637,99.9999999999999,0,0,4,"Rural 1",0.16284191713789,"EX67SN",3.225
"2659","EX43","Devon","E07000041",2148,0.3575,6008.39160839161,"E10000008","E12000009","18",55.06,26.48,0.25,4,6430.7651,3540.77926406,1702.86659848,16.07691275,0.3575,100,0.3575,100,0.3575,100,3,"Suburban 1",8.39160839160839,"EX43PT",0.488
"2660","EX44","Devon","E07000041",8928,3.1167,2864.56829338724,"E10000008","E12000009","18",55.06,26.48,0.25,14,6430.7651,3540.77926406,1702.86659848,16.07691275,3.1167,100,3.1167,100,0,0,3,"Suburban 2",0.962556550197324,"EX43PT",1.186
"2661","EX45","Devon","E07000041",2990,4.4664,669.442951818019,"E10000008","E12000009","18",55.06,26.48,0.25,47,6430.7651,3540.77926406,1702.86659848,16.07691275,4.46639999999999,99.9999999999998,4.46639999999999,99.9999999999998,0,0,0,"Rural 1",0,"EX43PT",2.583
"2662","EX46","Devon","E07000041",8172,1.0906,7493.12305153127,"E10000008","E12000009","18",55.06,26.48,0.25,1,6430.7651,3540.77926406,1702.86659848,16.07691275,1.0906,100,1.0906,100,1.0906,100,2,"Suburban 1",1.83385292499542,"EX43PT",1.04
"2663","EX47","Devon","E07000041",5260,0.8886,5919.42381273914,"E10000008","E12000009","18",55.06,26.48,0.25,5,6430.7651,3540.77926406,1702.86659848,16.07691275,0.888599999999999,99.9999999999999,0.888599999999999,99.9999999999999,0.888599999999999,99.9999999999999,1,"Suburban 1",1.12536574386676,"EX43PT",1.887
"2664","EX48","Devon","E07000041",6261,2.4674,2537.48885466483,"E10000008","E12000009","18",55.06,26.48,0.25,18,6430.7651,3540.77926406,1702.86659848,16.07691275,2.4674,99.9999999999999,2.4674,99.9999999999999,0,0,1,"Suburban 2",0.405284915295453,"EX49EY",1.345
"2665","EX49","Devon","E07000041",3723,2.9681,1254.33779185337,"E10000008","E12000009","18",55.06,26.48,0.25,34,6430.7651,3540.77926406,1702.86659848,16.07691275,2.96810000000001,100,2.96810000000001,100,0,0,1,"Suburban 2",0.336915872106735,"EX49EY",2.033
"2666","EX51","Devon","E07000040",3521,28.4526,123.7496748979,"E10000008","E12000009","18",55.06,26.48,0.25,81,6430.7651,3540.77926406,1702.86659848,16.07691275,28.4526000000001,100,28.4526000000001,100,0,0,4,"Rural 1",0.140584691732917,"EX51PS",0.279
"2667","EX52","Devon","E07000041",4779,62.2725,76.7433457786342,"E10000008","E12000009","18",55.06,26.48,0.25,95,6430.7651,3540.77926406,1702.86659848,16.07691275,62.2725,100,0,0,0,0,8,"Rural 2",0.128467622144606,"EX52PU",1.737
"2668","EX53","Devon","E07000040",2353,34.9426,67.3390074007086,"E10000008","E12000009","18",55.06,26.48,0.25,100,6430.7651,3540.77926406,1702.86659848,16.07691275,34.9425999999999,99.9999999999996,0,0,0,0,2,"Rural 2",0.057236725372468,"EX54PR",4.003
"2669","EX54","Devon","E07000042",5055,31.0657,162.719655439922,"E10000008","E12000009","18",55.06,26.48,0.25,72,6430.7651,3540.77926406,1702.86659848,16.07691275,31.0657,100,31.0657,100,0,0,5,"Rural 1",0.160949214084988,"EX54PR",2.387
"2670","EX55","Devon","E07000040",2860,59.3266,48.2077179545094,"E10000008","E12000009","18",55.06,26.48,0.25,113,6430.7651,3540.77926406,1702.86659848,16.07691275,59.3265999999999,99.9999999999998,0,0,0,0,3,"Rural 2",0.050567536315919,"EX55DB",2.98
"2671","EX66","Devon","E07000047",2793,63.2319,44.1707429319695,"E10000008","E12000009","18",55.06,26.48,0.25,118,6430.7651,3540.77926406,1702.86659848,16.07691275,63.2318999999998,99.9999999999996,0,0,0,0,8,"Rural 3",0.126518418709544,"EX66JL",1.501
"2672","EX67","Devon","E07000045",4007,108.337,36.9864404589383,"E10000008","E12000009","18",55.06,26.48,0.25,128,6430.7651,3540.77926406,1702.86659848,16.07691275,0,0,0,0,0,0,10,"Rural 3",0.0923045681530779,"EX67PL",1.309
"2673","EX68","Devon","E07000045",6873,47.3355,145.197578984061,"E10000008","E12000009","18",55.06,26.48,0.25,77,6430.7651,3540.77926406,1702.86659848,16.07691275,47.3355,100,47.3355,100,0,0,1,"Rural 1",0.0211257935376198,"EX67TH",4.433
"2674","EX70","Devon","E07000045",5664,17.8451,317.39805324711,"E10000008","E12000009","18",55.06,26.48,0.25,57,6430.7651,3540.77926406,1702.86659848,16.07691275,17.8451,100,17.8451,100,0,0,3,"Rural 1",0.168113375660545,"EX79DZ",2.271
"2675","EX79","Devon","E07000045",6768,2.5009,2706.22575872686,"E10000008","E12000009","18",55.06,26.48,0.25,17,6430.7651,3540.77926406,1702.86659848,16.07691275,2.5009,100,2.5009,100,0,0,1,"Suburban 2",0.399856051821344,"EX79DZ",0.097
"2676","EX81","Devon","E07000040",7109,1.0532,6749.90505127231,"E10000008","E12000009","18",55.06,26.48,0.25,2,6430.7651,3540.77926406,1702.86659848,16.07691275,1.0532,100,1.0532,100,1.0532,100,0,"Suburban 1",0,"EX82RZ",0.725
"2677","EX82","Devon","E07000040",7664,3.7712,2032.24437844718,"E10000008","E12000009","18",55.06,26.48,0.25,23,6430.7651,3540.77926406,1702.86659848,16.07691275,3.7712,100,3.7712,100,0,0,6,"Suburban 2",1.59100551548579,"EX82RZ",1.545
"2678","EX83","Devon","E07000040",5540,2.3915,2316.53773782145,"E10000008","E12000009","18",55.06,26.48,0.25,21,6430.7651,3540.77926406,1702.86659848,16.07691275,2.3915,100,2.3915,100,0,0,0,"Suburban 2",0,"EX82RZ",1.592
"2679","EX84","Devon","E07000040",9532,4.5752,2083.40618989334,"E10000008","E12000009","18",55.06,26.48,0.25,22,6430.7651,3540.77926406,1702.86659848,16.07691275,4.5752,100,4.5752,100,0,0,3,"Suburban 2",0.655709040041965,"EX82RZ",2.307
"2680","EX85","Devon","E07000040",7604,11.935,637.117720988689,"E10000008","E12000009","18",55.06,26.48,0.25,48,6430.7651,3540.77926406,1702.86659848,16.07691275,11.935,100,11.935,100,0,0,6,"Rural 1",0.502723083368245,"EX82RZ",2.841
"2681","EX96","Devon","E07000040",5185,4.3477,1192.58458495296,"E10000008","E12000009","18",55.06,26.48,0.25,36,6430.7651,3540.77926406,1702.86659848,16.07691275,4.3477,100,4.3477,100,0,0,1,"Suburban 2",0.230006670193436,"EX96RH",0.31
"2682","EX97","Devon","E07000040",1578,24.9849,63.1581475211028,"E10000008","E12000009","18",55.06,26.48,0.25,104,6430.7651,3540.77926406,1702.86659848,16.07691275,24.9848999999999,99.9999999999997,0,0,0,0,1,"Rural 2",0.0400241746014593,"EX96RH",2.548
"2683","FK101","Clackmannanshire","S12000005",6449,5.757376,1120.12833624207,"S99999999","S99999999","00QF",75.88,58.55,12.36,1,410.677159,311.6218282492,240.4514765945,50.7596968524,5.757376,100,5.757376,100,5.757376,100,5,"Suburban 2",0.868451183316844,"FK101LJ",0.393
"2684","FK102","Clackmannanshire","S12000005",15106,13.53341,1116.20057324798,"S99999999","S99999999","00QF",75.88,58.55,12.36,2,410.677159,311.6218282492,240.4514765945,50.7596968524,13.53341,100,13.53341,100,13.53341,100,5,"Suburban 2",0.369456035101279,"FK101LJ",2.975
"2685","FK103","Clackmannanshire","S12000005",9033,38.616409,233.916105456621,"S99999999","S99999999","00QF",75.88,58.55,12.36,7,410.677159,311.6218282492,240.4514765945,50.7596968524,38.616409,100,38.616409,100,0,0,9,"Rural 1",0.23306154645296,"FK136AG",4.34
"2686","FK104","Clackmannanshire","S12000005",6600,31.580146,208.992067357763,"S99999999","S99999999","00QF",75.88,58.55,12.36,8,410.677159,311.6218282492,240.4514765945,50.7596968524,31.580146,100,31.580146,100,0,0,5,"Rural 1",0.158327323755881,"FK104PD",1.644
"2687","FK11","Falkirk","S12000014",3567,2.1523,1657.29684523533,"S99999999","S99999999","00QQ",81.2,88.49,23.98,5,335.960274,272.799742488,297.2912464626,80.5632737052,2.1523,100,2.1523,100,2.1523,100,6,"Suburban 2",2.78771546717465,"FK11RQ",0.676
"2688","FK117","Clackmannanshire","S12000005",2863,7.584825,377.464213083361,"S99999999","S99999999","00QF",75.88,58.55,12.36,5,410.677159,311.6218282492,240.4514765945,50.7596968524,7.584825,99.9999999999999,7.584825,99.9999999999999,0,0,1,"Rural 1",0.131842198073126,"FK125AS",2.944
"2689","FK12","Falkirk","S12000014",7822,39.571535,197.667338403729,"S99999999","S99999999","00QQ",81.2,88.49,23.98,20,335.960274,272.799742488,297.2912464626,80.5632737052,34.233304488,86.5099230747557,39.571535,100,0,0,5,"Rural 1",0.126353450782235,"FK12NG",1.242
"2690","FK125","Clackmannanshire","S12000005",4831,20.476465,235.929395039622,"S99999999","S99999999","00QF",75.88,58.55,12.36,6,410.677159,311.6218282492,240.4514765945,50.7596968524,20.476465,100,20.476465,100,0,0,0,"Rural 1",0,"FK125AS",1.896
"2691","FK13","Falkirk","S12000014",1919,57.822301,33.1878871440969,"S99999999","S99999999","00QQ",81.2,88.49,23.98,21,335.960274,272.799742488,297.2912464626,80.5632737052,0,0,19.1532734626,33.1243709284416,0,0,4,"Rural 3",0.069177461478055,"FK13BQ",1.529
"2692","FK136","Clackmannanshire","S12000005",6013,15.491596,388.145934092265,"S99999999","S99999999","00QF",75.88,58.55,12.36,3,410.677159,311.6218282492,240.4514765945,50.7596968524,15.491596,100,15.491596,100,15.491596,100,4,"Rural 1",0.258204512950118,"FK136AG",0.55
"2693","FK14","Falkirk","S12000014",7218,4.720729,1529.00113520602,"S99999999","S99999999","00QQ",81.2,88.49,23.98,6,335.960274,272.799742488,297.2912464626,80.5632737052,4.720729,100,4.720729,100,4.720729,100,6,"Suburban 2",1.27099013732837,"FK53HT",2.737
"2694","FK147","Clackmannanshire","S12000005",4246,148.185547,28.6532667048832,"S99999999","S99999999","00QF",75.88,58.55,12.36,9,410.677159,311.6218282492,240.4514765945,50.7596968524,148.185547,100,90.4856135945,61.0623744530902,0,0,12,"Rural 3",0.0809795573383415,"FK147JN",3.959
"2695","FK15","Falkirk","S12000014",8664,4.33069,2000.60498442511,"S99999999","S99999999","00QQ",81.2,88.49,23.98,3,335.960274,272.799742488,297.2912464626,80.5632737052,4.33069,100,4.33069,100,4.33069,100,4,"Suburban 2",0.923640343686572,"FK11RQ",1.729
"2696","FK150","Stirling","S12000030",5158,55.736467,92.5426435801896,"S99999999","S99999999","00RG",37.69,14.75,3.33,8,2228.41055,839.887936295,328.690556125,74.206071315,55.736467,100,55.736467,100,0,0,14,"Rural 2",0.251182049267672,"FK159EJ",5.127
"2697","FK159","Stirling","S12000030",5525,140.951925,39.1977619319495,"S99999999","S99999999","00RG",37.69,14.75,3.33,10,2228.41055,839.887936295,328.690556125,74.206071315,140.951925,100,29.580223125,20.9860369945285,0,0,8,"Rural 3",0.056756940353954,"FK159QR",5.178
"2698","FK166","Stirling","S12000030",1934,60.341046,32.0511513837529,"S99999999","S99999999","00RG",37.69,14.75,3.33,11,2228.41055,839.887936295,328.690556125,74.206071315,60.341046,100,0,0,0,0,1,"Rural 3",0.0165724671063873,"FK166HU",3.937
"2699","FK178","Stirling","S12000030",3666,209.658798,17.4855528838814,"S99999999","S99999999","00RG",37.69,14.75,3.33,14,2228.41055,839.887936295,328.690556125,74.206071315,87.051322295,41.5204718930994,0,0,0,0,7,"Rural 4",0.0333875805202317,"FK178HX",5.622
"2700","FK188","Stirling","S12000030",234,13.280017,17.6204593713999,"S99999999","S99999999","00RG",37.69,14.75,3.33,13,2228.41055,839.887936295,328.690556125,74.206071315,13.2800169999999,99.9999999999995,0,0,0,0,1,"Rural 4",0.0753011084247859,"FK188NQ",0.865
"2701","FK198","Perth and Kinross","S12000024",561,291.288194,1.92592769482446,"S99999999","S99999999","00RB",36.75,19.55,0.05,30,5482.2473,2014.72588275,1071.77934715,2.74112365,0,0,0,0,0,0,8,"Rural 4",0.027464209551864,"FK188NQ",4.832
"2702","FK20","Falkirk","S12000014",16262,19.664796,826.960015247552,"S99999999","S99999999","00QQ",81.2,88.49,23.98,12,335.960274,272.799742488,297.2912464626,80.5632737052,19.664796,100,19.664796,100,14.3106617052,72.7729985360642,18,"Suburban 2",0.915341303311766,"FK20JN",1.058
"2703","FK208","Stirling","S12000030",413,249.132512,1.6577523209817,"S99999999","S99999999","00RG",37.69,14.75,3.33,18,2228.41055,839.887936295,328.690556125,74.206071315,0,0,0,0,0,0,8,"Rural 4",0.0321114251037617,"FK208QN",2.066
"2704","FK218","Stirling","S12000030",992,313.89565,3.16028591030172,"S99999999","S99999999","00RG",37.69,14.75,3.33,17,2228.41055,839.887936295,328.690556125,74.206071315,0,0,0,0,0,0,5,"Rural 4",0.0159288604349885,"FK218TE",5.503
"2705","FK27","Falkirk","S12000014",11186,5.775215,1936.89758736255,"S99999999","S99999999","00QQ",81.2,88.49,23.98,4,335.960274,272.799742488,297.2912464626,80.5632737052,5.775215,100,5.775215,100,5.775215,100,7,"Suburban 2",1.21207608721061,"FK11RQ",1.6
"2706","FK28","Stirling","S12000030",8568,46.072038,185.96963303425,"S99999999","S99999999","00RG",37.69,14.75,3.33,5,2228.41055,839.887936295,328.690556125,74.206071315,46.072038,100,46.072038,100,46.072038,100,11,"Rural 1",0.23875653167329,"FK28JQ",1.563
"2707","FK29","Falkirk","S12000014",10959,5.141466,2131.49323558689,"S99999999","S99999999","00QQ",81.2,88.49,23.98,2,335.960274,272.799742488,297.2912464626,80.5632737052,5.141466,100,5.141466,100,5.141466,100,6,"Suburban 2",1.16698233538839,"FK11RQ",1.884
"2708","FK30","Falkirk","S12000014",4998,1.188279,4206.082914871,"S99999999","S99999999","00QQ",81.2,88.49,23.98,1,335.960274,272.799742488,297.2912464626,80.5632737052,1.188279,100,1.188279,100,1.188279,100,0,"Suburban 1",0,"FK38BD",1.672
"2709","FK38","Falkirk","S12000014",7095,15.878447,446.832111477905,"S99999999","S99999999","00QQ",81.2,88.49,23.98,15,335.960274,272.799742488,297.2912464626,80.5632737052,15.878447,100,15.878447,100,0,0,9,"Rural 1",0.566806061071338,"FK38BD",1.1
"2710","FK39","Falkirk","S12000014",5285,4.73351,1116.50762330702,"S99999999","S99999999","00QQ",81.2,88.49,23.98,7,335.960274,272.799742488,297.2912464626,80.5632737052,4.73351,100,4.73351,100,4.73351,100,5,"Suburban 2",1.05629860293947,"FK38BD",2.134
"2711","FK41","Falkirk","S12000014",9760,10.743658,908.442915811356,"S99999999","S99999999","00QQ",81.2,88.49,23.98,11,335.960274,272.799742488,297.2912464626,80.5632737052,10.743658,100,10.743658,100,10.743658,100,5,"Suburban 2",0.465390838018113,"FK41HP",0.876
"2712","FK42","North Lanarkshire","S12000044",3720,17.746846,209.614711256299,"S99999999","S99999999","00QZ",82.56,82.96,19,35,514.101148,424.4419077888,426.4983123808,97.67921812,17.746846,100,17.746846,100,0,0,6,"Rural 1",0.338088243961772,"FK41EF",2.45
"2713","FK53","Falkirk","S12000014",4836,5.290186,914.145551782111,"S99999999","S99999999","00QQ",81.2,88.49,23.98,10,335.960274,272.799742488,297.2912464626,80.5632737052,5.29018600000001,100,5.29018600000001,100,5.29018600000001,100,3,"Suburban 2",0.567087811279225,"FK53HT",1.233
"2714","FK54","Falkirk","S12000014",14372,13.555298,1060.24965294013,"S99999999","S99999999","00QQ",81.2,88.49,23.98,8,335.960274,272.799742488,297.2912464626,80.5632737052,13.555298,100,13.555298,100,13.555298,100,6,"Suburban 2",0.442631360815528,"FK53HT",1.865
"2715","FK65","North Lanarkshire","S12000044",7868,53.754716,146.368553040072,"S99999999","S99999999","00QZ",82.56,82.96,19,38,514.101148,424.4419077888,426.4983123808,97.67921812,0,0,0,0,0,0,7,"Rural 1",0.130221132597929,"FK41HP",5.786
"2716","FK66","Falkirk","S12000014",5463,18.312196,298.325771524071,"S99999999","S99999999","00QQ",81.2,88.49,23.98,17,335.960274,272.799742488,297.2912464626,80.5632737052,18.312196,100,18.312196,100,0,0,8,"Rural 1",0.43686732055511,"FK66DY",1.603
"2717","FK70","Stirling","S12000030",7025,1.992537,3525.65598530918,"S99999999","S99999999","00RG",37.69,14.75,3.33,1,2228.41055,839.887936295,328.690556125,74.206071315,1.992537,100,1.992537,100,1.992537,100,4,"Suburban 1",2.00749095248921,"FK78LR",0.952
"2718","FK77","Falkirk","S12000014",10892,29.43401,370.048117806578,"S99999999","S99999999","00QQ",81.2,88.49,23.98,16,335.960274,272.799742488,297.2912464626,80.5632737052,29.43401,100,29.43401,100,0,0,10,"Rural 1",0.339743038750072,"FK78LR",3.196
"2719","FK78","Stirling","S12000030",6272,19.159648,327.354657037541,"S99999999","S99999999","00RG",37.69,14.75,3.33,4,2228.41055,839.887936295,328.690556125,74.206071315,19.159648,100,19.159648,100,19.159648,100,13,"Rural 1",0.678509333783168,"FK78LR",2.326
"2720","FK79","Stirling","S12000030",7110,49.219535,144.454838917109,"S99999999","S99999999","00RG",37.69,14.75,3.33,7,2228.41055,839.887936295,328.690556125,74.206071315,49.219535,100,49.219535,100,0,0,6,"Rural 1",0.121902817651569,"FK78LR",6.503
"2721","FK81","Stirling","S12000030",8480,3.325295,2550.14968596771,"S99999999","S99999999","00RG",37.69,14.75,3.33,2,2228.41055,839.887936295,328.690556125,74.206071315,3.325295,100,3.325295,100,3.325295,100,4,"Suburban 2",1.20290079526779,"FK82DX",1.159
"2722","FK82","Stirling","S12000030",3800,1.699915,2235.40588794146,"S99999999","S99999999","00RG",37.69,14.75,3.33,3,2228.41055,839.887936295,328.690556125,74.206071315,1.699915,100,1.699915,100,1.699915,100,6,"Suburban 2",3.52958824411809,"FK82DX",0.676
"2723","FK83","Stirling","S12000030",6064,535.569077,11.3225357109257,"S99999999","S99999999","00RG",37.69,14.75,3.33,15,2228.41055,839.887936295,328.690556125,74.206071315,0,0,0,0,0,0,15,"Rural 4",0.0280075916332264,"FK83SZ",0.557
"2724","FK94","Stirling","S12000030",7344,46.978642,156.326357837249,"S99999999","S99999999","00RG",37.69,14.75,3.33,6,2228.41055,839.887936295,328.690556125,74.206071315,46.978642,100,46.978642,100,1.95663831500001,4.1649529056204,11,"Rural 1",0.234148956455574,"FK94BB",3.702
"2725","FK95","Clackmannanshire","S12000005",6458,16.925636,381.551393401111,"S99999999","S99999999","00QF",75.88,58.55,12.36,4,410.677159,311.6218282492,240.4514765945,50.7596968524,16.925636,100,16.925636,100,15.9773148524,94.3971313834233,2,"Rural 1",0.118163949644197,"FK94BB",3.014
